round,alpha,honest_proportion,sum_of_balance,sum_of_effective_balance,honest_total_balance,episode
1,1.1664294,0.515625,16310.664999008179,15616,8410.186640113592,
2,1.1852609,0.544921875,16256.951432628965,14632,8858.768456452111,
3,1.1852609,0.583984375,16260.611432192873,13723,9495.94300434701,
4,1.2122424,0.630859375,16339.63020873453,12914,10308.008901213385,
5,1.2219582,0.6796875,16534.06804364154,12028,11237.99937341261,
6,1.2219582,0.7265625,16869.166502280765,11292,12256.503786813368,
7,1.2219582,0.765625,17065.590232599763,11012,13065.842521834194,
8,1.2219582,0.798828125,17684.66264391187,10668,14127.005901093662,
9,1.2189478,0.828125,18418.0029000134,10943,15252.408651573598,
10,1.2189478,0.853515625,19250.689406223257,11233,16430.764200233523,
11,1.2189478,0.873046875,20166.79906437085,11549,17606.560901901896,
12,1.2189478,0.890625,21141.272751401142,11845,18828.946044216642,
13,1.2189478,0.904296875,22298.869115714755,12159,20164.797657374867,
14,1.2189478,0.9140625,23491.16234602594,12463,21472.390581914337,
15,1.2189478,0.921875,24681.824646468,12753,22753.55709596269,
16,1.2189478,0.9296875,25853.34104028419,13051,24035.52799838921,
17,1.2189478,0.935546875,27017.85865908008,13204,25276.47323769406,
18,1.2189478,0.94140625,28166.48419755586,13335,26516.10426410532,
19,1.2692461,0.9453125,28449.48596244654,13335,26893.654698875245,
20,1.2692553,0.94921875,29587.719196424114,13471,28085.217830980702,
21,1.2692553,0.953125,30710.905501196732,13609,29271.331805828137,
22,1.2656871,0.95703125,31821.52957037399,13749,30454.198221646984,
23,1.2656871,0.958984375,32922.760450861155,13891,31572.4128542438,
24,1.2656871,0.9609375,34007.626699197426,14034,32679.20378126003,
25,1.2866796,0.962890625,34646.607506354165,14153,33360.89355592305,
26,1.2866796,0.96484375,35715.15252763565,14274,34459.541696585955,
27,1.2866796,0.966796875,36770.58748198199,14376,35549.68906949431,
28,1.2866796,0.96875,37623.42451722292,14478,36447.692501059704,
29,1.2866796,0.970703125,38665.853842167686,14582,37533.065155385426,
30,1.2866796,0.97265625,39696.208387671664,14687,38610.76518957127,
31,1.2866796,0.974609375,39728.106427687424,14687,38719.384975421926,
32,1.2866796,0.9765625,40751.995718572674,14794,39796.87081891863,
33,1.2866796,0.978515625,41765.86911416738,14902,40868.55551991769,
34,1.2866796,0.98046875,42770.173339343266,15011,41934.818391309214,
35,1.2866796,0.982421875,43580.81967405204,15104,42814.7505782191,
36,1.2866796,0.984375,44571.18432278263,15198,43874.75956773915,
37,1.2866796,0.986328125,45307.697655271026,15277,44688.256476390365,
38,1.2866796,0.98828125,46133.87516158935,15357,45593.24381203947,
39,1.2866796,0.990234375,47106.16276444038,15427,46646.14164369389,
40,1.2866796,0.9921875,48070.95116299008,15497,47695.39685702922,
41,1.2866796,0.994140625,48310.92154407771,15497,48027.84973815538,
42,1.2866796,0.99609375,48969.35058214423,15559,48778.064056432726,
43,1.2866796,0.998046875,49922.47403442594,15622,49824.969202327455,
44,1.2866796,1.0,50869.52499823457,15678,50869.52499823457,
45,1.2866796,1.0,51810.33826570687,15734,51810.33826570687,
46,1.2866796,1.0,52540.06695110832,15783,52540.06695110832,
47,1.2866796,1.0,53467.61046142077,15832,53467.61046142077,
48,1.2866796,1.0,54387.27690620011,15876,54387.27690620011,
49,1.2866796,1.0,55158.049531421995,15919,55158.049531421995,
50,1.2866796,1.0,56065.15274013571,15959,56065.15274013571,
51,1.2866796,1.0,56965.27483670315,15999,56965.27483670315,
52,1.2866796,1.0,57859.68313607459,16036,57859.68313607459,
53,1.2866796,1.0,58747.1515266365,16070,58747.1515266365,
54,1.2866796,1.0,59629.61975942135,16099,59629.61975942135,
55,1.2866796,1.0,60505.58704280827,16125,60505.58704280827,
56,1.2866796,1.0,61375.45449503536,16149,61375.45449503536,
57,1.2692639,1.0,62240.6171425043,16171,62240.6171425043,
58,1.2692639,1.0,63099.745741855906,16192,63099.745741855906,
59,1.2692639,1.0,63954.13270868809,16212,63954.13270868809,
60,1.2692639,1.0,64805.09038458033,16231,64805.09038458033,
61,1.2692639,1.0,65650.44262239384,16249,65650.44262239384,
62,1.2692639,1.0,66490.66747491017,16266,66490.66747491017,
63,1.2692639,1.0,67326.91118594141,16282,67326.91118594141,
64,1.2692639,1.0,68157.94532643576,16297,68157.94532643576,"{'r': 2100.0, 'l': 64, 't': 74.506999}"
