round,alpha,honest_proportion,sum_of_balance,sum_of_effective_balance,honest_total_balance
1,4.0,0.537109375,15086.5625,13056,8103.1341552734375
2,4.0,0.611328125,13813.599567031517,9520,8444.64192281419
3,4.0,0.7109375,12726.380400965501,8781,9047.661066311412
4,4.0,0.794921875,12426.606315284123,8997,9878.181192032496
5,4.0,0.837890625,12671.323135395436,8997,10617.182861493442
6,4.0,0.865234375,13912.38163727858,9343,12037.47083069221
7,4.0,0.884765625,15232.554532004024,9717,13477.240630855122
8,4.0,0.8984375,16558.481753994627,10111,14876.760950854548
9,4.0,0.91015625,17849.865840958693,10519,16246.16695681006
10,4.0,0.919921875,18164.870010947878,10519,16710.26127960244
11,4.0,0.927734375,19427.3154443361,10930,18023.388351679
12,4.0,0.93359375,20658.42037138637,11330,19286.572143598994
13,4.0,0.939453125,20959.36765526112,11330,19690.34344175898
14,4.0,0.943359375,21484.855248530796,11330,20267.93961921948
15,4.0,0.947265625,22714.168352297434,11746,21516.35088059425
16,4.0,0.951171875,23314.435975042583,11955,22176.035780948707
17,4.0,0.955078125,23797.819088571698,11955,22728.776434202267
18,4.0,0.958984375,24980.37552446373,12383,23955.789809593145
19,4.0,0.9609375,26139.32260816331,12815,25118.255318781932
20,4.0,0.962890625,27274.593583258196,13249,26262.450462004475
21,4.0,0.96484375,28005.427489839014,13466,27020.861679649362
22,4.0,0.966796875,29014.716867694504,13684,28051.337596696834
23,4.0,0.96875,29811.551920439975,13903,28879.940922926227
24,4.0,0.970703125,30907.48472354421,14124,30001.992007034125
25,4.0,0.97265625,31750.06081134725,14308,30881.895086036977
26,4.0,0.974609375,32816.292545707955,14493,31983.06636778959
27,4.0,0.9765625,33867.16577973582,14679,33073.40408177326
28,4.0,0.978515625,34644.55118559226,14865,33900.2346562143
29,4.0,0.98046875,35674.39820539369,15053,34977.6326154446
30,4.0,0.982421875,36704.05386784589,15192,36058.86542095016
31,4.0,0.984375,37562.25953284868,15330,36975.349227647916
32,4.0,0.986328125,38569.70443776105,15408,38042.38425990104
33,4.0,0.98828125,39565.87761901578,15484,39102.21499066794
34,4.0,0.990234375,40458.98721906481,15546,40063.87992200363
35,4.0,0.9921875,41284.427881573516,15609,40961.893288748724
36,4.0,0.994140625,42253.01167912339,15666,42005.43543881603
37,4.0,0.99609375,43221.33548240731,15723,43052.50214067916
38,4.0,0.998046875,43341.903133681764,15723,43257.25097912379
39,4.0,1.0,44307.2731168305,15774,44307.2731168305
40,4.0,1.0,45272.170137654866,15826,45272.170137654866
41,4.0,1.0,46226.729233029764,15868,46226.729233029764
42,4.0,1.0,47171.38133137104,15909,47171.38133137104
43,4.0,1.0,48106.52681264269,15946,48106.52681264269
44,4.0,1.0,49032.53851525459,15983,49032.53851525459
45,4.0,1.0,49949.76436882952,16012,49949.76436882952
46,4.0,1.0,50858.52970856482,16041,50858.52970856482
47,4.0,1.0,51510.92594489476,16067,51510.92594489476
48,4.0,1.0,52413.427849644955,16090,52413.427849644955
49,4.0,1.0,53308.125967477026,16113,53308.125967477026
50,4.0,1.0,54195.284222195216,16134,54195.284222195216
51,4.0,1.0,55075.15127667613,16155,55075.15127667613
52,4.0,1.0,55947.961764495914,16175,55947.961764495914
53,4.0,1.0,56813.93739528335,16195,56813.93739528335
54,4.0,1.0,57673.28794937099,16214,57673.28794937099
55,4.0,1.0,58530.4002464899,16232,58530.4002464899
56,4.0,1.0,59382.413288080825,16250,59382.413288080825
57,4.0,1.0,60232.632634204325,16266,60232.632634204325
58,4.0,1.0,61077.800706004746,16281,61077.800706004746
59,4.0,1.0,61892.31524987917,16294,61892.31524987917
60,4.0,1.0,62727.083928057524,16308,62727.083928057524
61,4.0,1.0,63558.72647664937,16320,63558.72647664937
62,4.0,1.0,64384.91024153384,16331,64384.91024153384
63,4.0,1.0,65205.776118422844,16341,65205.776118422844
64,4.0,1.0,66021.45875128105,16350,66021.45875128105
