round,alpha,honest_proportion,sum_of_balance,sum_of_effective_balance,honest_total_balance
1,1,0.513671875,16382.5625,15616,8415.261596679688
2,1,0.541015625,16405.35768947763,14876,8875.554843721296
3,1,0.57421875,16466.36394471722,14426,9455.294921380591
4,1,0.615234375,16611.635485934403,13810,10220.049175916674
5,1,0.66015625,16853.211366380103,13074,11125.752816086864
6,1,0.705078125,17211.61408964672,12453,12135.532590551691
7,1,0.7421875,17408.882518350325,12302,12920.654994088132
8,1,0.77734375,18009.46034762335,11891,13999.541442097838
9,1,0.806640625,18717.993594678777,11578,15098.694051957686
10,1,0.83203125,19241.417260254857,11416,16009.460454821425
11,1,0.853515625,20120.225876250617,11697,17172.92716390922
12,1,0.87109375,21059.006655317076,11983,18344.36907865511
13,1,0.88671875,22042.19934946285,12266,19545.231454406512
14,1,0.900390625,22934.292448424065,12404,20649.821911569325
15,1,0.91015625,23985.171241548433,12696,21830.253512815565
16,1,0.919921875,25131.71948295443,12977,23119.218508733473
17,1,0.927734375,26301.339261704405,13243,24400.656541620298
18,1,0.93359375,26918.576524541706,13379,25131.014802208858
19,1,0.939453125,28074.29050558102,13519,26374.479947625918
20,1,0.943359375,29220.647864430815,13639,27565.57210648454
21,1,0.947265625,30356.00169904674,13742,28755.196921948573
22,1,0.951171875,30636.174835223483,13742,29140.267860847336
23,1,0.955078125,31756.33137831588,13849,30329.7774296806
24,1,0.958984375,32867.03343341815,13958,31518.97151525061
25,1,0.9609375,33964.244761679074,14069,32637.516450675987
26,1,0.962890625,35015.20751984372,14180,33715.81505328702
27,1,0.96484375,35718.574817374196,14275,34462.843671450886
28,1,0.966796875,36782.93155134772,14371,35561.623277181876
29,1,0.96875,37840.273966895176,14468,36657.7654054297
30,1,0.970703125,38886.16625817926,14566,37746.92310608417
31,1,0.97265625,39922.16132350399,14665,38830.53972481443
32,1,0.974609375,40948.72939365084,14765,39909.01556139018
33,1,0.9765625,41965.67319649699,14866,40982.10273095409
34,1,0.978515625,42975.074960087964,14954,42051.78233399233
35,1,0.98046875,43974.71991173556,15042,43115.83866345948
36,1,0.982421875,44966.7582881193,15131,44176.32699008595
37,1,0.984375,45949.74691221797,15221,45231.78211671456
38,1,0.986328125,46864.89058387393,15299,46224.15965792253
39,1,0.98828125,47834.304199343875,15378,47273.74594700781
40,1,0.990234375,48375.79926755311,15378,47903.37935283092
41,1,0.9921875,49334.94605171688,15449,48949.51678568784
42,1,0.994140625,49989.90530413936,15519,49696.995702747925
43,1,0.99609375,50523.817830410655,15519,50326.45916701062
44,1,0.998046875,51469.822007005234,15583,51369.295010897804
45,1,1.0,52410.169328772026,15648,52410.169328772026
46,1,1.0,53344.522630335945,15706,53344.522630335945
47,1,1.0,54271.35099331571,15757,54271.35099331571
48,1,1.0,55018.888822089066,15807,55018.888822089066
49,1,1.0,55932.66370009214,15853,55932.66370009214
50,1,1.0,56840.559647415095,15899,56840.559647415095
51,1,1.0,57741.384584835425,15940,57741.384584835425
52,1,1.0,58636.17481361767,15981,58636.17481361767
53,1,1.0,59524.88355416258,16019,59524.88355416258
54,1,1.0,60407.34635893743,16054,60407.34635893743
55,1,1.0,61284.687170462916,16085,61284.687170462916
56,1,1.0,62155.72541562974,16114,62155.72541562974
57,1,1.0,63022.16883016965,16139,63022.16883016965
58,1,1.0,63882.83699569043,16162,63882.83699569043
59,1,1.0,64738.56954138357,16183,64738.56954138357
60,1,1.0,65589.44956397367,16203,65589.44956397367
61,1,1.0,66435.01917773385,16222,66435.01917773385
62,1,1.0,67276.64117862405,16240,67276.64117862405
63,1,1.0,68112.98232112786,16257,68112.98232112786
64,1,1.0,68945.39378412785,16273,68945.39378412785
