#{"t_start": 1678444455.78708, "env_id": null}
r,l,t
1300.0,64,2.316313
1900.0,64,4.555831
1800.0,64,6.817188
1600.0,64,9.052143
1800.0,64,11.276909
1800.0,64,13.516674
1700.0,64,15.757243
1800.0,64,17.997413
1700.0,64,20.229721
2000.0,64,22.465295
1900.0,64,24.751291
1700.0,64,26.979637
1900.0,64,29.22555
2300.0,64,31.463684
1800.0,64,33.762019
2200.0,64,36.053712
2000.0,64,38.297608
2200.0,64,40.534555
2200.0,64,42.821435
2100.0,64,45.05847
2300.0,64,47.414379
2300.0,64,49.689023
2300.0,64,51.981866
2300.0,64,54.26435
2200.0,64,56.519153
2300.0,64,58.765932
2200.0,64,60.992673
2200.0,64,63.236113
2200.0,64,65.482743
2100.0,64,67.739315
1800.0,64,70.076874
2000.0,64,72.380044
2100.0,64,74.506999
